test,device,signal,value,timestamp,delta
1,,,,,
,raspberry-pi,gpio6,1,2026-04-16T09:44:10.736Z,17342
,raspberry-pi,gpio6,0,2026-04-16T09:44:10.982Z,752
,raspberry-pi,gpio6,1,2026-04-16T09:44:11.120Z,375
,raspberry-pi,gpio6,0,2026-04-16T09:44:11.125Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:44:11.248Z,122
,raspberry-pi,gpio6,0,2026-04-16T09:44:11.276Z,9
,raspberry-pi,gpio26,1,2026-04-16T09:44:11.703Z,18366
,raspberry-pi,gpio6,1,2026-04-16T09:44:11.730Z,457
,raspberry-pi,gpio6,0,2026-04-16T09:44:11.869Z,26
,raspberry-pi,gpio26,0,2026-04-16T09:44:12.247Z,173
,raspberry-pi,gpio26,1,2026-04-16T09:44:12.344Z,468
,raspberry-pi,gpio5,1,2026-04-16T09:44:12.438Z,18997
,raspberry-pi,gpio26,0,2026-04-16T09:44:12.446Z,102
,raspberry-pi,gpio5,0,2026-04-16T09:44:12.505Z,98
,raspberry-pi,gpio17,0,2026-04-16T09:44:17.581Z,11597
,raspberry-pi,gpio17,1,2026-04-16T09:44:25.060Z,7487
,raspberry-pi,gpio6,1,2026-04-16T09:44:29.838Z,17337
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.027Z,772
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.057Z,184
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.073Z,31
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.097Z,14
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.102Z,25
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.130Z,6
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.137Z,28
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.283Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.299Z,149
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.321Z,13
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.345Z,24
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.349Z,22
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.378Z,5
,raspberry-pi,gpio26,1,2026-04-16T09:44:30.787Z,18341
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.813Z,442
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.937Z,23
,raspberry-pi,gpio6,1,2026-04-16T09:44:30.963Z,125
,raspberry-pi,gpio6,0,2026-04-16T09:44:30.974Z,26
,raspberry-pi,gpio26,0,2026-04-16T09:44:31.339Z,191
,raspberry-pi,gpio26,1,2026-04-16T09:44:31.448Z,470
,raspberry-pi,gpio26,0,2026-04-16T09:44:31.535Z,10
,raspberry-pi,gpio5,1,2026-04-16T09:44:31.540Z,19089
,raspberry-pi,gpio5,0,2026-04-16T09:44:31.601Z,8
,raspberry-pi,gpio17,0,2026-04-16T09:44:36.707Z,11637
